coin,min_rr,atr_buffer_multiplier,risk_per_trade_percent,partial_tp_rr,net_profit,win_rate,profit_factor,max_drawdown,total_trades,total_r_gain
SOLUSDT,3.0,2.2,2.0,1.1,5697.91,73.33,7.6,2.16,15,28.49
SOLUSDT,3.5,0.6,2.0,1.1,5548.56,68.57,3.2,5.37,35,27.74
SOLUSDT,3.5,0.8,2.0,1.1,3413.12,58.82,2.02,8.79,34,17.07
SOLUSDT,3.5,1.0,2.0,1.1,1392.81,51.72,1.43,10.26,29,6.96
SOLUSDT,3.5,1.2,2.0,1.1,5219.9,52.0,2.88,6.01,25,26.1
SOLUSDT,3.5,1.4,2.0,1.1,3594.7,47.62,2.45,9.68,21,17.97
SOLUSDT,3.5,1.6,2.0,1.1,2437.68,42.11,2.0,5.2,19,12.19
SOLUSDT,3.5,1.8,2.0,1.1,2400.73,62.5,2.81,4.37,16,12.0
SOLUSDT,3.5,2.0,2.0,1.1,2272.26,69.23,3.6,2.18,13,11.36
SOLUSDT,3.5,2.2,2.0,1.1,4775.54,63.64,6.52,4.31,11,23.88
ADAUSDT,1.5,0.6,2.0,1.1,10641.56,56.45,2.82,6.42,62,53.21
ADAUSDT,1.5,0.8,2.0,1.1,8408.91,53.85,2.28,8.51,65,42.04
ADAUSDT,1.5,1.0,2.0,1.1,7046.39,50.0,2.05,9.87,62,35.23
ADAUSDT,1.5,1.2,2.0,1.1,6026.09,43.86,1.88,10.95,57,30.13
ADAUSDT,1.5,1.4,2.0,1.1,2392.56,42.31,1.37,14.74,52,11.96
ADAUSDT,1.5,1.6,2.0,1.1,2118.91,46.0,1.37,14.22,50,10.59
ADAUSDT,1.5,1.8,2.0,1.1,1389.38,44.68,1.25,14.26,47,6.95
ADAUSDT,1.5,2.0,2.0,1.1,1313.31,48.89,1.27,13.03,45,6.57
ADAUSDT,1.5,2.2,2.0,1.1,-29.91,44.74,0.99,14.07,38,-0.15
ADAUSDT,2.0,0.6,2.0,1.1,8746.44,50.94,2.54,9.05,53,43.73
ADAUSDT,2.0,0.8,2.0,1.1,6386.73,49.09,2.03,16.55,55,31.93
ADAUSDT,2.0,1.0,2.0,1.1,5309.07,45.28,1.84,12.59,53,26.55
ADAUSDT,2.0,1.2,2.0,1.1,4775.16,40.43,1.79,12.31,47,23.88
ADAUSDT,2.0,1.4,2.0,1.1,6076.29,39.53,2.08,12.0,43,30.38
ADAUSDT,2.0,1.6,2.0,1.1,1539.7,44.74,1.34,11.95,38,7.7
ADAUSDT,2.0,1.8,2.0,1.1,746.77,44.12,1.19,9.52,34,3.73
ADAUSDT,2.0,2.0,2.0,1.1,872.88,50.0,1.26,8.64,32,4.36
ADAUSDT,2.0,2.2,2.0,1.1,-525.7,44.83,0.85,15.28,29,-2.63
ADAUSDT,2.5,0.6,2.0,1.1,8619.53,52.17,2.78,8.88,46,43.1
ADAUSDT,2.5,0.8,2.0,1.1,4901.57,46.67,1.92,12.29,45,24.51
ADAUSDT,2.5,1.0,2.0,1.1,4562.32,43.48,1.8,13.56,46,22.81
ADAUSDT,2.5,1.2,2.0,1.1,5103.4,42.11,2.07,8.95,38,25.52
ADAUSDT,2.5,1.4,2.0,1.1,5701.9,42.86,2.31,8.89,35,28.51
ADAUSDT,2.5,1.6,2.0,1.1,318.96,45.16,1.09,14.47,31,1.59
ADAUSDT,2.5,1.8,2.0,1.1,295.99,44.44,1.09,10.56,27,1.48
ADAUSDT,2.5,2.0,2.0,1.1,778.66,52.0,1.3,9.97,25,3.89
ADAUSDT,2.5,2.2,2.0,1.1,255.65,57.89,1.15,8.93,19,1.28
ADAUSDT,3.0,0.6,2.0,1.1,7190.1,48.78,2.55,8.92,41,35.95
ADAUSDT,3.0,0.8,2.0,1.1,4996.74,48.78,2.06,13.74,41,24.98
ADAUSDT,3.0,1.0,2.0,1.1,5072.49,50.0,2.21,11.83,38,25.36
ADAUSDT,3.0,1.2,2.0,1.1,5663.84,51.61,2.73,6.16,31,28.32
ADAUSDT,3.0,1.4,2.0,1.1,5239.54,43.33,2.38,10.61,30,26.2
ADAUSDT,3.0,1.6,2.0,1.1,1144.55,51.85,1.4,10.19,27,5.72
ADAUSDT,3.0,1.8,2.0,1.1,575.01,47.37,1.27,8.43,19,2.88
ADAUSDT,3.0,2.0,2.0,1.1,998.7,57.89,1.58,7.99,19,4.99
ADAUSDT,3.0,2.2,2.0,1.1,490.9,57.14,1.37,8.23,14,2.45
ADAUSDT,3.5,0.6,2.0,1.1,6966.81,52.94,2.96,9.61,34,34.83
ADAUSDT,3.5,0.8,2.0,1.1,5203.92,52.78,2.35,10.06,36,26.02
ADAUSDT,3.5,1.0,2.0,1.1,10547.27,54.55,4.16,5.8,33,52.74
ADAUSDT,3.5,1.2,2.0,1.1,5681.62,55.56,3.15,6.16,27,28.41
ADAUSDT,3.5,1.4,2.0,1.1,5418.69,48.0,2.84,8.72,25,27.09
ADAUSDT,3.5,1.6,2.0,1.1,971.22,52.38,1.44,10.26,21,4.86
ADAUSDT,3.5,1.8,2.0,1.1,921.57,50.0,1.53,6.25,16,4.61
ADAUSDT,3.5,2.0,2.0,1.1,92.48,54.55,1.09,7.1,11,0.46
ADAUSDT,3.5,2.2,2.0,1.1,-957.89,40.0,0.28,11.35,10,-4.79
BNBUSDT,1.5,0.6,2.0,1.1,-1287.65,45.65,0.78,22.92,46,-6.44
BNBUSDT,1.5,0.8,2.0,1.1,-1584.63,43.9,0.7,21.89,41,-7.92
BNBUSDT,1.5,1.0,2.0,1.1,-2463.91,34.21,0.57,29.49,38,-12.32
BNBUSDT,1.5,1.2,2.0,1.1,-1574.18,48.48,0.59,20.44,33,-7.87
BNBUSDT,1.5,1.4,2.0,1.1,-1243.31,48.39,0.65,16.73,31,-6.22
BNBUSDT,1.5,1.6,2.0,1.1,-1438.3,46.67,0.59,18.57,30,-7.19
BNBUSDT,1.5,1.8,2.0,1.1,-560.96,55.17,0.8,17.32,29,-2.8
BNBUSDT,1.5,2.0,2.0,1.1,277.73,60.71,1.12,12.67,28,1.39
BNBUSDT,1.5,2.2,2.0,1.1,-35.17,59.26,0.98,12.67,27,-0.18
BNBUSDT,2.0,0.6,2.0,1.1,-532.51,46.43,0.85,18.85,28,-2.66
BNBUSDT,2.0,0.8,2.0,1.1,-484.9,50.0,0.85,13.82,28,-2.42
BNBUSDT,2.0,1.0,2.0,1.1,-1235.53,41.38,0.68,19.67,29,-6.18
BNBUSDT,2.0,1.2,2.0,1.1,-1115.83,53.57,0.62,15.46,28,-5.58
BNBUSDT,2.0,1.4,2.0,1.1,-1371.72,52.0,0.49,15.79,25,-6.86
BNBUSDT,2.0,1.6,2.0,1.1,-1377.78,52.0,0.48,16.28,25,-6.89
BNBUSDT,2.0,1.8,2.0,1.1,-1280.27,54.55,0.41,15.26,22,-6.4
BNBUSDT,2.0,2.0,2.0,1.1,-385.07,58.33,0.82,12.94,24,-1.93
BNBUSDT,2.0,2.2,2.0,1.1,-151.15,60.87,0.92,10.59,23,-0.76
BNBUSDT,2.5,0.6,2.0,1.1,-846.97,46.15,0.74,16.64,26,-4.23
BNBUSDT,2.5,0.8,2.0,1.1,-1340.31,48.15,0.59,15.92,27,-6.7
BNBUSDT,2.5,1.0,2.0,1.1,-1770.98,40.0,0.5,20.12,25,-8.85
BNBUSDT,2.5,1.2,2.0,1.1,-795.57,58.33,0.65,14.42,24,-3.98
BNBUSDT,2.5,1.4,2.0,1.1,-871.81,56.52,0.62,14.83,23,-4.36
BNBUSDT,2.5,1.6,2.0,1.1,-970.83,54.55,0.57,15.82,22,-4.85
BNBUSDT,2.5,1.8,2.0,1.1,-225.19,62.5,0.83,7.68,16,-1.13
BNBUSDT,2.5,2.0,2.0,1.1,-174.76,64.71,0.87,5.04,17,-0.87
BNBUSDT,2.5,2.2,2.0,1.1,3005.11,80.0,5.65,3.49,15,15.03
BNBUSDT,3.0,0.6,2.0,1.1,-1442.53,47.83,0.5,22.03,23,-7.21
BNBUSDT,3.0,0.8,2.0,1.1,-1180.96,47.62,0.54,18.92,21,-5.9
BNBUSDT,3.0,1.0,2.0,1.1,-1098.99,40.0,0.62,18.14,20,-5.49
BNBUSDT,3.0,1.2,2.0,1.1,-63.08,68.42,0.96,8.59,19,-0.32
BNBUSDT,3.0,1.4,2.0,1.1,-734.51,62.5,0.49,8.25,16,-3.67
BNBUSDT,3.0,1.6,2.0,1.1,-778.54,60.0,0.44,8.8,15,-3.89
BNBUSDT,3.0,1.8,2.0,1.1,-687.37,58.33,0.41,7.79,12,-3.44
BNBUSDT,3.0,2.0,2.0,1.1,-609.99,61.54,0.46,7.03,13,-3.05
BNBUSDT,3.0,2.2,2.0,1.1,2871.5,76.92,5.44,3.49,13,14.36
BNBUSDT,3.5,0.6,2.0,1.1,-833.76,47.06,0.62,16.95,17,-4.17
BNBUSDT,3.5,0.8,2.0,1.1,-587.01,52.94,0.69,13.99,17,-2.94
BNBUSDT,3.5,1.0,2.0,1.1,-765.26,41.18,0.68,15.05,17,-3.83
BNBUSDT,3.5,1.2,2.0,1.1,-935.88,60.0,0.36,10.22,15,-4.68
BNBUSDT,3.5,1.4,2.0,1.1,-597.89,64.29,0.5,6.59,14,-2.99
BNBUSDT,3.5,1.6,2.0,1.1,-669.16,61.54,0.44,7.72,13,-3.35
BNBUSDT,3.5,1.8,2.0,1.1,-743.12,54.55,0.36,7.89,11,-3.72
BNBUSDT,3.5,2.0,2.0,1.1,-468.6,63.64,0.5,5.63,11,-2.34
BNBUSDT,3.5,2.2,2.0,1.1,3379.25,91.67,15.69,1.71,12,16.9
XRPUSDT,1.5,0.6,2.0,1.1,3248.56,62.07,1.67,11.26,58,16.24
XRPUSDT,1.5,0.8,2.0,1.1,3797.11,68.42,1.96,5.98,57,18.99
XRPUSDT,1.5,1.0,2.0,1.1,2994.87,64.15,1.7,6.95,53,14.97
XRPUSDT,1.5,1.2,2.0,1.1,3118.63,67.35,1.87,6.25,49,15.59
XRPUSDT,1.5,1.4,2.0,1.1,2287.13,62.22,1.61,7.0,45,11.44
XRPUSDT,1.5,1.6,2.0,1.1,2381.83,62.79,1.68,5.09,43,11.91
XRPUSDT,1.5,1.8,2.0,1.1,879.74,55.0,1.22,10.5,40,4.4
XRPUSDT,1.5,2.0,2.0,1.1,161.53,51.43,1.04,11.96,35,0.81
XRPUSDT,1.5,2.2,2.0,1.1,-16.86,48.48,1.0,11.59,33,-0.08
XRPUSDT,2.0,0.6,2.0,1.1,3541.48,71.11,2.2,6.9,45,17.71
XRPUSDT,2.0,0.8,2.0,1.1,3900.33,77.27,2.74,2.87,44,19.5
XRPUSDT,2.0,1.0,2.0,1.1,2577.56,69.05,1.87,5.55,42,12.89
XRPUSDT,2.0,1.2,2.0,1.1,1111.94,65.79,1.38,6.1,38,5.56
XRPUSDT,2.0,1.4,2.0,1.1,1526.8,63.89,1.53,4.43,36,7.63
XRPUSDT,2.0,1.6,2.0,1.1,43.51,58.06,1.02,11.46,31,0.22
XRPUSDT,2.0,1.8,2.0,1.1,-1111.88,50.0,0.67,16.91,30,-5.56
