coin,min_rr,atr_buffer_multiplier,risk_per_trade_percent,partial_tp_rr,net_profit,win_rate,profit_factor,max_drawdown,total_trades,total_r_gain
ADAUSDT,2.0,1.1,2.0,2.0,17232.78,38.03,1.59,17.02,213,86.16
ADAUSDT,2.0,1.4,1.0,1.1,8592.7,54.46,1.85,7.59,202,85.93
ADAUSDT,2.0,1.4,1.0,1.5,10317.19,50.25,1.95,9.0,199,103.17
ADAUSDT,2.0,1.4,1.0,2.0,11628.12,40.82,1.91,8.83,196,116.28
ADAUSDT,2.0,1.4,2.0,1.1,17531.94,54.73,1.88,12.93,201,87.66
ADAUSDT,2.0,1.4,2.0,1.5,20980.91,50.51,1.98,15.02,198,104.9
ADAUSDT,2.0,1.4,2.0,2.0,23602.77,41.03,1.94,14.34,195,118.01
ADAUSDT,2.0,2.0,1.0,1.1,5760.13,54.67,1.78,7.28,150,57.6
ADAUSDT,2.0,2.0,1.0,1.5,4491.07,44.3,1.5,7.4,149,44.91
ADAUSDT,2.0,2.0,1.0,2.0,2882.19,34.01,1.28,11.06,147,28.82
ADAUSDT,2.0,2.0,2.0,1.1,11904.47,54.73,1.83,12.64,148,59.52
ADAUSDT,2.0,2.0,2.0,1.5,9326.36,44.22,1.53,12.66,147,46.63
ADAUSDT,2.0,2.0,2.0,2.0,6058.61,33.79,1.29,19.85,145,30.29
ADAUSDT,2.5,0.6,1.0,1.1,13957.84,59.29,2.29,5.76,226,139.58
ADAUSDT,2.5,0.6,1.0,1.5,14940.26,49.78,2.13,6.85,223,149.4
ADAUSDT,2.5,0.6,1.0,2.0,17142.05,47.51,2.26,7.38,221,171.42
ADAUSDT,2.5,0.6,2.0,1.1,22047.97,58.74,2.14,9.04,206,110.24
ADAUSDT,2.5,0.6,2.0,1.5,22812.21,49.02,1.96,12.82,204,114.06
ADAUSDT,2.5,0.6,2.0,2.0,26365.71,46.04,2.06,13.41,202,131.83
ADAUSDT,2.5,1.1,1.0,1.1,13337.93,56.25,2.4,5.07,192,133.38
ADAUSDT,2.5,1.1,1.0,1.5,13664.75,48.95,2.25,8.03,190,136.65
ADAUSDT,2.5,1.1,1.0,2.0,13857.35,43.68,2.15,8.1,190,138.57
ADAUSDT,2.5,1.1,2.0,1.1,18178.49,54.4,1.98,9.1,182,90.89
ADAUSDT,2.5,1.1,2.0,1.5,18241.93,46.11,1.84,15.29,180,91.21
ADAUSDT,2.5,1.1,2.0,2.0,18277.07,40.56,1.76,15.05,180,91.39
ADAUSDT,2.5,1.4,1.0,1.1,7964.42,55.0,2.0,7.38,160,79.64
ADAUSDT,2.5,1.4,1.0,1.5,9206.94,50.31,2.05,7.88,159,92.07
ADAUSDT,2.5,1.4,1.0,2.0,10888.58,39.87,2.03,6.96,158,108.89
ADAUSDT,2.5,1.4,2.0,1.1,16275.37,55.35,2.05,13.5,159,81.38
ADAUSDT,2.5,1.4,2.0,1.5,18760.41,50.63,2.1,13.91,158,93.8
ADAUSDT,2.5,1.4,2.0,2.0,22123.7,40.13,2.07,13.02,157,110.62
ADAUSDT,2.5,2.0,1.0,1.1,5554.72,53.77,2.05,4.52,106,55.55
ADAUSDT,2.5,2.0,1.0,1.5,5261.74,47.17,1.87,4.95,106,52.62
ADAUSDT,2.5,2.0,1.0,2.0,4144.55,36.79,1.57,8.6,106,41.45
ADAUSDT,2.5,2.0,2.0,1.1,11493.63,53.85,2.12,7.51,104,57.47
ADAUSDT,2.5,2.0,2.0,1.5,10867.7,47.12,1.92,9.73,104,54.34
ADAUSDT,2.5,2.0,2.0,2.0,8583.33,36.54,1.61,14.77,104,42.92
ADAUSDT,3.0,0.6,1.0,1.1,12817.8,60.59,2.33,4.85,203,128.18
ADAUSDT,3.0,0.6,1.0,1.5,14285.02,51.5,2.23,6.0,200,142.85
ADAUSDT,3.0,0.6,1.0,2.0,16574.44,48.74,2.36,8.3,199,165.74
ADAUSDT,3.0,0.6,2.0,1.1,20933.73,60.77,2.29,9.25,181,104.67
ADAUSDT,3.0,0.6,2.0,1.5,22627.6,51.4,2.13,9.61,179,113.14
ADAUSDT,3.0,0.6,2.0,2.0,26706.23,48.31,2.26,10.8,178,133.53
ADAUSDT,3.0,1.1,1.0,1.1,13621.74,56.69,2.75,4.5,157,136.22
ADAUSDT,3.0,1.1,1.0,1.5,13501.46,49.04,2.49,7.28,157,135.01
ADAUSDT,3.0,1.1,1.0,2.0,14193.91,44.59,2.44,6.2,157,141.94
ADAUSDT,3.0,1.1,2.0,1.1,18649.18,54.11,2.24,15.85,146,93.25
ADAUSDT,3.0,1.1,2.0,1.5,18128.56,45.89,2.02,14.39,146,90.64
ADAUSDT,3.0,1.1,2.0,2.0,19163.38,41.1,1.99,14.0,146,95.82
ADAUSDT,3.0,1.4,1.0,1.1,7656.73,57.03,2.24,4.67,128,76.57
ADAUSDT,3.0,1.4,1.0,1.5,8459.75,50.0,2.18,7.28,128,84.6
ADAUSDT,3.0,1.4,1.0,2.0,11116.33,41.73,2.34,4.72,127,111.16
ADAUSDT,3.0,1.4,2.0,1.1,15659.99,57.48,2.3,8.08,127,78.3
ADAUSDT,3.0,1.4,2.0,1.5,17266.03,50.39,2.23,12.25,127,86.33
ADAUSDT,3.0,1.4,2.0,2.0,22579.19,42.06,2.39,6.68,126,112.9
ADAUSDT,3.0,2.0,1.0,1.1,5891.95,61.33,2.84,3.85,75,58.92
ADAUSDT,3.0,2.0,1.0,1.5,5498.95,52.0,2.39,4.99,75,54.99
ADAUSDT,3.0,2.0,1.0,2.0,5056.89,42.67,2.07,6.49,75,50.57
ADAUSDT,3.0,2.0,2.0,1.1,12168.09,61.64,3.0,7.69,73,60.84
ADAUSDT,3.0,2.0,2.0,1.5,11342.12,52.05,2.5,9.99,73,56.71
ADAUSDT,3.0,2.0,2.0,2.0,10408.01,42.47,2.14,12.99,73,52.04
BNBUSDT,2.0,0.6,1.0,1.1,13022.91,52.04,2.0,7.39,221,130.23
BNBUSDT,2.0,0.6,1.0,1.5,12503.95,43.58,1.84,8.53,218,125.04
BNBUSDT,2.0,0.6,1.0,2.0,14702.4,41.2,1.96,9.64,216,147.02
BNBUSDT,2.0,0.6,2.0,1.1,11685.06,51.65,1.58,10.01,182,58.43
BNBUSDT,2.0,0.6,2.0,1.5,10184.76,40.78,1.42,14.37,179,50.92
